timestamp_utc,timestamp_local,di_tag_3,di_tag_4,di_tag_5,di_tag_6,hr_tag_0,hr_tag_2,hr_tag_4,hr_tag_6,hr_tag_8,hr_tag_10,hr_tag_12,hr_tag_14,hr_tag_15,hr_tag_16,hr_tag_17,hr_tag_18,hr_tag_19,hr_tag_20,tag_10_11_float,ir_tag_12,ir_tag_13,ir_tag_14,coil_tag_21,coil_tag_22,coil_tag_23,coil_tag_24,coil_tag_25,coil_tag_26
2022-03-09 05:49:26+0000,2022-03-08 21:49:26-0800,0,1,1,0,1567.3506164550781,160.1580047607422,533.3398895263672,5.4438886642456055,0.9900000095367432,167.21099853515625,449.34698486328125,1,2015,1,1,9,0,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:27+0000,2022-03-08 21:49:27-0800,0,1,1,0,1790.7302856445312,182.8000030517578,618.6097290039063,6.041110992431641,0.9900000095367432,191.85595703125,438.5679931640625,1,2015,1,1,9,15,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:28+0000,2022-03-08 21:49:28-0800,0,1,1,0,1822.2248840332031,186.01499938964844,634.1372924804688,5.925000190734863,0.9900000095367432,195.51153564453125,433.2080078125,1,2015,1,1,9,30,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:29+0000,2022-03-08 21:49:29-0800,0,1,1,0,1831.5409851074219,186.96600341796875,635.5629150390625,6.435555458068848,0.9900000095367432,197.25074768066406,435.2149963378906,1,2015,1,1,9,45,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:30+0000,2022-03-08 21:49:30-0800,0,1,1,0,1821.0787963867188,185.8979949951172,629.9518005371094,6.6177778244018555,0.9900000095367432,196.1153106689453,434.4129943847656,1,2015,1,1,10,0,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:31+0000,2022-03-08 21:49:31-0800,0,1,1,0,1780.4640197753906,181.7519989013672,617.2137817382813,7.6161112785339355,0.9900000095367432,192.45367431640625,434.7850036621094,1,2015,1,1,10,15,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:32+0000,2022-03-08 21:49:32-0800,0,1,1,0,1730.4743957519531,176.6490020751953,600.2001037597656,8.394444465637207,0.9900000095367432,187.8443145751953,434.9989929199219,1,2015,1,1,10,30,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:33+0000,2022-03-08 21:49:33-0800,0,1,1,0,1670.6838989257812,170.7169952392578,577.8315795898438,8.702221870422363,0.9900000095367432,182.26780700683594,437.1780090332031,1,2015,1,1,10,45,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:34+0000,2022-03-08 21:49:34-0800,0,1,1,0,1605.5366516113281,164.05999755859375,559.0622924804688,9.91333293914795,0.9900000095367432,175.5667266845703,436.9440002441406,1,2015,1,1,11,0,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:35+0000,2022-03-08 21:49:35-0800,0,1,1,0,1551.4381408691406,158.53199768066406,541.0629852294923,10.502778053283691,0.9900000095367432,169.93121337890625,434.5400085449219,1,2015,1,1,11,15,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:36+0000,2022-03-08 21:49:36-0800,0,1,1,0,1498.0441284179688,153.0760040283203,524.226385498047,10.734444618225098,0.9900000095367432,163.8149871826172,433.7619934082031,1,2015,1,1,11,30,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:37+0000,2022-03-08 21:49:37-0800,0,1,1,0,1056.7599487304688,148.46400451660156,509.58760375976567,10.53166675567627,0.9958491325378418,159.72189331054688,432.2239990234375,1,2015,1,1,11,45,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:38+0000,2022-03-08 21:49:38-0800,0,1,1,0,1043.6628723144531,146.62399291992188,505.5099029541016,11.1899995803833,0.9878014326095581,158.2930450439453,437.3340148925781,1,2015,1,1,12,0,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:39+0000,2022-03-08 21:49:39-0800,0,1,1,0,1041.2712860107422,146.28799438476562,503.77299194335944,10.76388931274414,0.9843735098838806,157.6387481689453,436.3340148925781,1,2015,1,1,12,15,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:40+0000,2022-03-08 21:49:40-0800,0,1,1,0,1046.3463592529297,147.00100708007812,507.0102844238282,11.002778053283691,0.9907625913619995,158.4573211669922,433.0050048828125,1,2015,1,1,12,30,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
2022-03-09 05:49:41+0000,2022-03-08 21:49:41-0800,0,1,1,0,1475.9663391113281,150.82000732421875,516.1084136962891,11.321666717529297,0.9900000095367432,162.6800079345703,435.87298583984375,1,2015,1,1,12,45,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,1,1,0,1,1,0
