timestamp_utc,timestamp_local,di_tag_3,di_tag_4,di_tag_5,di_tag_6,hr_tag_0,hr_tag_2,hr_tag_4,hr_tag_6,hr_tag_8,hr_tag_10,hr_tag_12,hr_tag_14,hr_tag_15,hr_tag_16,hr_tag_17,hr_tag_18,hr_tag_19,hr_tag_20,tag_10_11_float,ir_tag_12,ir_tag_13,ir_tag_14,ir_tag_100_f64,ir_tag_104_11111,packedbool_tag_bit15,packedbool_tag_bit14,packedbool_tag_bit13,packedbool_tag_bit12,packedbool_tag_bit11,packedbool_tag_bit10,packedbool_tag_bit9,packedbool_tag_bit8,packedbool_tag_bit7,packedbool_tag_bit6,packedbool_tag_bit5,packedbool_tag_bit4,packedbool_tag_bit3,packedbool_tag_bit2,packedbool_tag_bit1,packedbool_tag_bit0,ir_tag_test_f32_swap_12345678,ir_tag_test_f32_swap_0.0124088237,ir_tag_test_f32_swap_237840655000000000000,ir_tag_test_f32_swap_944706240,coil_tag_21,coil_tag_22,coil_tag_23,coil_tag_24,coil_tag_25,coil_tag_26
2022-03-20 22:45:37+0000,2022-03-20 15:45:37-0700,0,1,1,0,-3.1999999284744263,0.0,5.0,1.2050000429153442,1.0,0.0,11.946000099182129,1,57095,1,5,1,11520,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,12345.6789,11111,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,12345678.0,0.01240882370620966,2.3784065545222593e+20,944706240.0,1,1,0,1,1,0
2022-03-20 22:45:38+0000,2022-03-20 15:45:38-0700,0,1,1,0,-3.1999999284744263,0.0,5.0,1.4633333683013916,1.0,0.0,11.951000213623047,1,57095,1,5,2,0,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,12345.6789,11111,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,12345678.0,0.01240882370620966,2.3784065545222593e+20,944706240.0,1,1,0,1,1,0
2022-03-20 22:45:40+0000,2022-03-20 15:45:40-0700,0,1,1,0,-3.1999999284744263,0.0,5.0,1.6505556106567383,1.0,0.0,11.597000122070312,1,57095,1,5,2,3840,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,12345.6789,11111,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,12345678.0,0.01240882370620966,2.3784065545222593e+20,944706240.0,1,1,0,1,1,0
2022-03-20 22:45:41+0000,2022-03-20 15:45:41-0700,0,1,1,0,-3.1999999284744263,0.0,5.0,1.2522221803665161,1.0,0.0,11.848999977111816,1,57095,1,5,2,7680,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,12345.6789,11111,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,12345678.0,0.01240882370620966,2.3784065545222593e+20,944706240.0,1,1,0,1,1,0
2022-03-20 22:45:42+0000,2022-03-20 15:45:42-0700,0,1,1,0,-3.1999999284744263,0.0,5.0,1.3133333921432495,1.0,0.0,11.803000450134277,1,57095,1,5,2,11520,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,12345.6789,11111,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,12345678.0,0.01240882370620966,2.3784065545222593e+20,944706240.0,1,1,0,1,1,0
2022-03-20 22:45:43+0000,2022-03-20 15:45:43-0700,0,1,1,0,-3.1999999284744263,0.0,5.0,1.1344444751739502,1.0,0.0,11.237000465393066,1,57095,1,5,3,0,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,12345.6789,11111,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,12345678.0,0.01240882370620966,2.3784065545222593e+20,944706240.0,1,1,0,1,1,0
2022-03-20 22:45:44+0000,2022-03-20 15:45:44-0700,0,1,1,0,-3.1999999284744263,0.0,5.0,0.5872222185134888,1.0,0.0,10.093999862670898,1,57095,1,5,3,3840,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,12345.6789,11111,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,12345678.0,0.01240882370620966,2.3784065545222593e+20,944706240.0,1,1,0,1,1,0
2022-03-20 22:45:45+0000,2022-03-20 15:45:45-0700,0,1,1,0,-3.1999999284744263,0.0,5.0,0.7088888883590698,1.0,0.0,7.843999862670898,1,57095,1,5,3,7680,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,12345.6789,11111,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,12345678.0,0.01240882370620966,2.3784065545222593e+20,944706240.0,1,1,0,1,1,0
2022-03-20 22:45:46+0000,2022-03-20 15:45:46-0700,0,1,1,0,-3.1999999284744263,0.0,5.0,0.6733333468437195,1.0,0.0,8.314000129699707,1,57095,1,5,3,11520,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,12345.6789,11111,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,12345678.0,0.01240882370620966,2.3784065545222593e+20,944706240.0,1,1,0,1,1,0
2022-03-20 22:45:47+0000,2022-03-20 15:45:47-0700,0,1,1,0,-3.1999999284744263,0.0,5.0,0.7116666436195374,1.0,0.0,9.6850004196167,1,57095,1,5,4,0,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,12345.6789,11111,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,12345678.0,0.01240882370620966,2.3784065545222593e+20,944706240.0,1,1,0,1,1,0
2022-03-20 22:45:48+0000,2022-03-20 15:45:48-0700,0,1,1,0,-3.1999999284744263,0.0,5.0,0.6355555653572083,1.0,0.0,9.074000358581543,1,57095,1,5,4,3840,0,1.4224478024209752e-36,-2524.0,-31455,1384.0,12345.6789,11111,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,12345678.0,0.01240882370620966,2.3784065545222593e+20,944706240.0,1,1,0,1,1,0
